Case,Combination_id,Event_date,Preloaded_cutoff,Ductile_lead_cutoff_days,Onset_fraction,Nearest_observation_date,Pi_at_event,Pi_final,Pct_of_max,First_crossing_date,Lead_days,Label,Baseline_label,Retains_baseline_label
2008 Financial,93,2008-09-15,0.9,350,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,94,2008-09-15,0.9,350,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,95,2008-09-15,0.9,350,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,96,2008-09-15,0.9,350,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,97,2008-09-15,0.9,400,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,98,2008-09-15,0.9,400,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Brittle,Ductile,No
2008 Financial,99,2008-09-15,0.9,400,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Brittle,Ductile,No
2008 Financial,100,2008-09-15,0.9,400,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Brittle,Ductile,No
Terra-Luna,1,2022-05-09,0.7,200,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
Terra-Luna,2,2022-05-09,0.7,200,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
Terra-Luna,3,2022-05-09,0.7,200,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,4,2022-05-09,0.7,200,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
Terra-Luna,5,2022-05-09,0.7,250,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
Terra-Luna,6,2022-05-09,0.7,250,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
