,rho,psi,omega,rho_norm,psi_norm,omega_norm,stress,pi
2008-10-10,0.31000000000000005,0.75,9142.99262857143,1.1071428571428572,4.629629629629616,1.1311961324739799,5.798128324519391,1.5330765545528533
2008-10-14,0.2999999999999998,0.79,9178.729085714287,1.0714285714285707,4.876543209876529,1.1356175449972707,5.933451458649741,1.5566219968490824
2008-10-15,0.25,0.48,9187.6632,0.8928571428571428,2.962962962962954,1.1367228981280935,3.007203434201296,1.5685553438101987
2008-10-16,0.039999999999999925,0.1200000000000001,9196.187842857144,0.14285714285714257,0.7407407407407393,1.1377775903303586,0.12039974500850308,1.5690331205761054
2008-10-17,0.19000000000000006,0.96,9204.712485714286,0.6785714285714287,5.925925925925908,1.1388322825326238,4.579431400660273,1.5872054674041225
2008-10-21,0.15999999999999992,1.5599999999999996,9238.811057142857,0.5714285714285711,9.6296296296296,1.1430510513416843,6.289804726959509,1.6121650099714222
2008-10-22,0.21000000000000008,1.8200000000000003,9247.3357,0.7500000000000002,11.234567901234536,1.1441057435439494,9.640150246527698,1.6504195744417702
2008-10-23,0.33000000000000007,1.4699999999999998,9246.793114285714,1.1785714285714286,9.074074074074046,1.1440386133507545,12.234857392778864,1.6989705958416863
2008-10-24,0.35,0.96,9246.250528571429,1.2499999999999998,5.925925925925908,1.1439714831575596,8.473862838204118,1.7325970356758296
2008-10-27,0.10999999999999999,0.1499999999999999,9244.62277142857,0.3928571428571428,0.9259259259259226,1.1437700925779748,0.4160539357922512,1.734248043357545
2008-10-28,0.26,0.040000000000000036,9244.080185714285,0.9285714285714285,0.24691358024691307,1.1437029623847799,0.2622246650970389,1.7352886174253903
2008-10-29,0.59,0.30000000000000027,9243.5376,2.1071428571428568,1.851851851851848,1.143635832191585,4.462600138842815,1.752997348135084
2008-10-30,0.6499999999999999,0.20999999999999996,9232.575857142856,2.3214285714285707,1.2962962962962923,1.1422796152909582,3.4374155089774088,1.7666378858691214
2008-10-31,0.73,0.07000000000000028,9221.614114285714,2.6071428571428568,0.43209876543209924,1.1409233983903315,1.2852995074458993,1.7717382807399384
2008-11-03,0.12999999999999998,0.2999999999999998,9188.728885714285,0.46428571428571414,1.8518518518518452,1.1368547476884512,0.9774544788326592,1.7756170683543537
2008-11-04,0.06999999999999998,0.4700000000000002,9177.767142857143,0.2499999999999999,2.901234567901227,1.1354985307878247,0.8235868973306728,1.7788852703278881
2008-11-05,0.010000000000000009,0.69,9166.8054,0.03571428571428574,4.259259259259246,1.1341423138871978,0.17252164827649133,1.779569880043271
2008-11-06,0.010000000000000009,0.71,9164.932542857143,0.03571428571428574,4.382716049382703,1.1339105988631635,0.17748600643581222,1.7802741895926195
2008-11-07,0.05000000000000002,0.5999999999999999,9163.059685714285,0.1785714285714286,3.703703703703692,1.1336788838391287,0.7497876215867231,1.7832495372973287
2008-11-10,0.05999999999999997,0.43000000000000016,9157.441114285715,0.21428571428571416,2.654320987654314,1.1329837387670256,0.6444219678172215,1.7858067673283495
2008-11-12,0.07999999999999996,0.17000000000000015,9153.6954,0.28571428571428553,1.0493827160493805,1.1325203087189568,0.33955635358416597,1.7871542131759057
2008-11-13,0.07999999999999996,0.14000000000000012,9139.964542857144,0.28571428571428553,0.8641975308641957,1.1308214894016344,0.279215182568304,1.7882622099321293
2008-11-14,0.07,0.1100000000000001,9126.233685714285,0.25,0.6790123456790109,1.129122670084312,0.19167205819332417,1.7890228133376582
2008-11-17,0.020000000000000018,0.18000000000000016,9085.041114285716,0.07142857142857148,1.1111111111111087,1.1240262121323452,0.08920842953431299,1.7893768150421594
2008-11-19,0.03999999999999998,0.15000000000000013,9057.5794,0.14285714285714277,0.925925925925924,1.1206285734977004,0.14823129279070074,1.7899650344579956
2008-11-20,0.14999999999999997,0.18000000000000016,9060.488928571429,0.5357142857142856,1.1111111111111087,1.1209885483550615,0.6672550883065825,1.7926128721100059
2008-11-21,0.22999999999999993,0.040000000000000036,9063.398457142857,0.8214285714285711,0.24691358024691307,1.1213485232124225,0.22743400382615214,1.7935153879982049
2008-11-24,0.24,0.08000000000000007,9072.127042857142,0.857142857142857,0.49382716049382613,1.1224284477845052,0.4751019884802128,1.7954007133493168
